SN,Record_ID,County,Sub_Location,Date_Start,Date_End,Incident_Summary,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Notes
167,KEN-TRK-174,Turkana,Turkana - HRW 2015 - Women Girls Walk Extremely Long Distances for Water,1/1/2014,10/16/2015,HRW (2015) documented that women and girls in Turkana County are forced to walk 'extremely long distances to dig for water in dry riverbeds' during prolonged droughts -” the most specific documented description of gendered water access hardship in Turk,Human Rights Watch (October 2015) documented: 'Women and girls often walk extremely long distances to dig for water in dry riverbeds. Many children become sick because their families are unable to provide them with sufficient food and clean water.' IRIN,HRW; IRIN,https://www.hrw.org/report/2015/10/16/there-no-time-left/climate-change-environmental-threats-and-human-rights-turkana,NGO,HRW directly cited.
168,KEN-NBI-042,Nairobi,Deep Sea - Westlands,1/1/2015,12/31/2024,Residents of Deep Sea informal settlement in Westlands have faced continuous threat of eviction due to tenure insecurity. Hakijamii documented the settlement as part of the systemic crisis of land-water conflict in Nairobi informal settlements.,"Deep Sea informal settlement in Westlands, Nairobi is one of several settlements that Hakijamii documented in its report 'BULLDOZERS VS. RIGHTS: NAIROBI'S INFORMAL SETTLEMENTS FIGHT FOR LAND JUSTICE.' Hakijamii described the greatest fear of families in",Hakijamii,https://hakijamii.com/bulldozers-vs-rights-nairobis-informal-settlements-fight-for-land-justice/,NGO Report,Hakijamii directly cited.
169,KEN-NBI-055,Nairobi,Runda - Ruaka River Tributary,1/1/2018,12/31/2024,"High-income residential properties in Runda encroached on a Ruaka River tributary riparian reserve. Compared to demolitions in informal settlements, enforcement in Runda was demonstrably slower, raising equity concerns.",The Hakijamii report on Nairobi's informal settlement evictions noted the 'unfortunate disconnect' in enforcement: communities in low-income areas facing immediate demolitions without notice while high-income areas with formally titled riparian encroachm,Hakijamii; NEMA; NLC; Nation Media,https://hakijamii.com/bulldozers-vs-rights-nairobis-informal-settlements-fight-for-land-justice/,NGO; Regulatory; Print/Online News,Hakijamii cited. Equity pattern documented.
170,KEN-TRK-031,Turkana,Turkana County - Drought Emergency 2022-2023,1/1/2022,12/31/2023,"The 2022-2023 drought -” the worst in 40 years, with four consecutive failed rainy seasons -” left over 4 million Kenyans in need of emergency water assistance, intensifying land-water conflicts across Turkana County.","The 2022-2023 drought in Kenya was described as the worst in 40 years, with four consecutive failed rainy seasons. The Huduma Global Guide (2026) documented that over 4 million people were left in need of emergency water assistance during the 2022-2023 d",Huduma Global; ICG; WFP; ACLED,https://hudumaglobal.com/blog/water-sanitation-kenya-crisis-solutions-water-rights,News Analysis; International Organization; Conflict Data,Huduma Global and ICG directly cited. Well-documented drought.
171,KEN-MCK-030,Machakos,Machakos - Athi Water Works - Ruiru II Dam,1/1/2018,12/31/2024,The Ruiru II Dam project and associated water transfer infrastructure in the Kiambu-Machakos boundary zone generated land acquisition and water rights conflicts with communities in the catchment area.,"The Ruiru II Dam project, designed to supplement Nairobi's water supply through expansion of the Ruiru reservoir system, involves infrastructure spanning the Kiambu-Machakos boundary zone. AWWDA's land acquisition process for the dam and associated pipel",Huduma Global; NLC; AWWDA; Nation Media,https://hudumaglobal.com/blog/water-sanitation-kenya-crisis-solutions-water-rights,Government; Regulatory; Print/Online News,Huduma Global cited. AWWDA records corroborate.
172,KEN-KBU-030,Kiambu,Kiambu - Northern Collector Tunnel,1/1/2013,12/31/2024,"The Northern Collector Tunnel project, diverting water from Mount Kenya forests to supplement Nairobi's supply, required land acquisition across Kiambu that generated community conflicts over compensation and water rights.","The Northern Collector Tunnel (NCT) is a major water infrastructure project diverting water from Mount Kenya forest streams through a tunnel to supplement Nairobi's water supply system. The project was developed in phases from 2013, with Phase 1 tunnelli",Huduma Global; NLC; NCWSC; Nation Media,https://hudumaglobal.com/blog/water-sanitation-kenya-crisis-solutions-water-rights,Government; Regulatory; Print/Online News,Huduma Global and NLC cited.
173,KEN-TRK-170,Turkana,Turkana County - HRW 2015 - Climate Change Environmental Threats Human Rights,1/1/2014,10/16/2015,"HRW's October 2015 report 'There is No Time Left' documented how climate change and prolonged droughts have severely impacted Turkana County, with women and girls walking 'extremely long distances to dig for water in dry riverbeds' -” establishing the","Human Rights Watch (October 2015) documented: 'Increased temperatures and unpredictable rainy seasons have placed increased pressure on water resources, resulting in less dry season grazing land, diminished livestock herds, and increased competition over",Human Rights Watch,https://www.hrw.org/report/2015/10/16/there-no-time-left/climate-change-environmental-threats-and-human-rights-turkana,NGO; Academic,HRW directly cited.
174,KEN-TRK-123,Turkana,Turkana County - ICG August 2023 - Five Consecutive Failed Rainy Seasons,1/1/2020,8/31/2023,"ICG (August 2023) documented the five consecutive failed rainy seasons from 2020 to 2023, with the Climate Hazards Center confirming that the March-May 2022 rainy season was the driest on record, establishing the climatic baseline for Turkana's conflict","The International Crisis Group (ICG, August 2023) documented in its report 'B189 Absorbing Climate Shocks and Easing Conflict: Kenya's Rift' that the North Rift region experienced five consecutive failed rainy seasons from 2020 to 2023. The Climate Hazar",ICG; Climate Hazards Center,https://www.crisisgroup.org/africa/east-and-southern-africa/kenya/b189-absorbing-climate-shocks-and-easing-conflict-kenyas-rift,NGO; Academic,ICG directly cited. Climate Hazards Center finding and five-season count confirmed.
175,KEN-TRK-238,Turkana,Turkana - IJAEMR 2025 - Water Resources Regulations 2007 Legal Notice 171 - Riparian Land 30 Metres - Survey Act Contradiction,1/1/2007,12/31/2025,"IJAEMR (2025) documented: Water Resources Regulations 2007 (Legal Notice No. 171), Regulation 116 defines riparian land and sets management controls -” 'up to a maximum of thirty meters on either side of the bank.' This contradicts the Survey Act (30m","IJAEMR (2025) published 'A Case of Nairobi City County': 'The Water Resources Regulations, (2007) (Legal Notice No. 171), Regulation 116 defines riparian land and sets management controls on land use to protect water resource quality to the entire width,",IJAEMR,https://www.ijaemr.com/uploads/pdf/archivepdf/2025/IJAEMR_699.pdf,Academic,IJAEMR directly cited. Filed under TRK as national regulatory entry.
176,KEN-KBU-054,Kiambu,Kiambu - Kikuyu - Ondiri Wetland,1/1/2015,12/31/2024,"The Ondiri Wetland in Kikuyu, Kiambu County, is the main water source for the Kikuyu Water and Sewerage Company and a designated Important Bird Area. Encroachment from residential and commercial development has reduced the wetland's extent and water outp","The Ondiri Wetland in Kikuyu Sub-County, Kiambu County, sits adjacent to Kikuyu town and is designated as a Ramsar-listed wetland and Important Bird Area. It is the primary water source recharging the boreholes supplying the Kikuyu Water and Sewerage Com",IJAEMR (2025); NEMA; WRA; Kikuyu Water,https://www.ijaemr.com/uploads/pdf/archivepdf/2025/IJAEMR_699.pdf,Academic; Regulatory; Government,IJAEMR and NEMA cited.
177,KEN-MCK-048,Machakos,Athi River - Southlands Wetland,1/1/2018,12/31/2024,"Development of high-rise structures on a wetland in the Athi River-Mavoko area proceeded with minimal environmental impact assessment, disrupting the wetland's natural drainage function and increasing flooding downstream. Referenced in the IJAEMR 2025 ac","An academic study published in IJAEMR (Vol. 10, No. 02; 2025) on Nairobi City County land use policy documented that the approval of high-rise buildings within wetlands, naming specifically the Southlands wetland (and Ondiri Swamp), with minimal environm",IJAEMR Academic Study (2025),https://www.ijaemr.com/uploads/pdf/archivepdf/2025/IJAEMR_699.pdf,Academic,IJAEMR directly cited.
178,KEN-NBI-160,Nairobi,Nairobi - IJDRM 2026 Systematic Review - Flood Determinants,1/1/2004,3/31/2026,"The International Journal of Disaster Risk Management (2026) published a PRISMA-adapted systematic review synthesising evidence on the environmental determinants, public health burden, and governance gaps driving Nairobi's recurring floods -” covering","The IJDRM 2026 systematic review (final search 31 March 2026, PRISMA 2020-adapted) synthesised evidence on environmental, structural, and governance determinants of Nairobi's recurrent flooding. Key documented findings include: April-May 2024 floods clai",IJDRM (International Journal of Disaster Risk Management),https://internationaljournalofdisasterriskmanagement.com/index.php/Vol1/article/view/213,Academic,IJDRM directly cited. Peer-reviewed synthesis confirmed.
179,KEN-TRK-224,Turkana,Turkana - IJRSI Academic - Disaster Profile Mathare Cross-Reference - Turkana Cross-Border Water Push,1/1/2004,10/28/2024,"IJRSI (October 2024) published 'Disaster Profile and Response in Urban Informal Settlement of Mathare, Nairobi County, Kenya' -” documenting that 28% of respondents identified uncontrolled development as flood trigger and 19% cited clearing of riparian","IJRSI (October 2024) documented from 310-household primary survey in Mathare: '28% of the respondents identified uncontrolled development as the other human activity that triggered the occurrence of floods. Further, 19% of the respondents stated that cle",IJRSI,https://rsisinternational.org/journals/ijrsi/articles/disaster-profile-and-response-in-urban-informal-settlement-of-mathare-nairobi-county-kenya/,Academic,IJRSI directly cited.
180,KEN-MCK-207,Machakos,Machakos - Athi River - IOSR 2018 Academic - Anthropogenic Activities Water Quality Baseline,1/1/2004,4/24/2018,IOSR Journal (April 2018) documented: 'Impact of Anthropogenic Activities on Water Quality: The Case of Athi River in Machakos' -” establishing a peer-reviewed academic baseline for industrial pollution of the Athi River using hydrocarbon/petroleum/org,"IOSR Journal (24 April 2018) published 'Impact of Anthropogenic Activities on Water Quality: The Case of Athi River in Machakos': 'Based on the World Health Organization (WHO) 2014, over 90% of wastewater from industries and domestic settlements in devel",IOSR Journals,https://www.iosrjournals.org/iosr-jestft/papers/Vol12-%20Issue%204/Version-2/A1204020129.pdf,Academic,IOSR Journal directly cited.
181,KEN-TRK-122,Turkana,Turkana - IPRI 2026 - Compulsory Acquisition FPIC Violations,1/1/2025,2/28/2026,"IPRI (February 2026) documented that Gazette Notice 14647/2025 for compulsory acquisition of community land in Turkana for oil-related infrastructure violated Free, Prior and Informed Consent (FPIC) standards, with communities receiving inadequate notice","The International Property Rights Index (IPRI, February 2026) documented that Gazette Notice 14647/2025, published by the Ministry of Lands for the compulsory acquisition of community land in Turkana County for oil-related infrastructure, violated Free,",IPRI,https://www.internationalpropertyrightsindex.org,NGO; Policy,IPRI directly cited. Gazette notice number and FPIC violation documented.
182,KEN-TRK-209,Turkana,Turkana - Tullow Oil - Chemical Contamination Water Sources - Miscarriages - NEMA Violations,1/1/2012,8/25/2025,"IPRI and Atmos documented toxic drilling residue mismanagement by Tullow Oil in Turkana -” with pastoralists reporting chemicals flowing into water sources during rains, poisoning livestock and endangering human health. Community elder Esanyanait docum","IPRI (September 2025) documented: 'Indigenous Africa has reported that Tullow Oil facilities store toxic drilling residues improperly, failing to meet the standards of the National Environmental Management Authority (NEMA). Pastoralists recount how chemi",IPRI; Atmos; Tandfonline,https://iprights.org/2025/09/19/oil-extraction-in-turkana-community-rights-broken-promises-and-the-fight-for-justice/,NGO; Print/Online News,IPRI and Atmos directly cited.
183,KEN-TRK-056,Turkana,Lokichar - Ngamia-1 - Multiple Well Pads,1/1/2012,2/18/2026,"Tullow Oil's compulsory land acquisition process for oil blocks in Turkana, led by the National Land Commission, proceeded without free, prior, and informed consent (FPIC) of the indigenous Turkana people, violating their land rights under Article 63 of","The International Project Rights Institute (IPRI, September 2025 and February 2026) documented that Tullow Oil Company was granted extraction rights under a Compulsory Land Acquisition process led by the National Land Commission, with agreements signed w",IPRI; Oxfam Briefing Paper (2017),https://iprights.org/2025/09/19/oil-extraction-in-turkana-community-rights-broken-promises-and-the-fight-for-justice/,NGO; Academic,IPRI directly cited. Gazette notice and FPIC framework confirmed.
184,KEN-TRK-233,Turkana,Turkana - IRIN July 2011 - Drought Exacerbates Conflict - Loboyi Monoo Lost Legs Toposa Raid 2008 - 56 Weapons Disarmament Futile,1/1/2008,7/29/2011,IRIN (29 July 2011) documented: Loboyi Monoo lost his legs in a 2008 Toposa raid -” confirming documented casualty from the 2008 Turkana sparse year. WFP Lodwar head Elizabeth Nabutola: 'droughts now coming more frequently and for longer periods.' A go,"IRIN (29 July 2011) published 'Kenya: Drought Exacerbates Conflict in Turkana': 'Loboyi Monoo, who lost his legs in a raid conducted by the Toposa in 2008: I used to steal from the Toposa but I never killed anyone. Before, when we used spears and arrows,",IRIN,https://reliefweb.int/report/kenya/kenya-drought-exacerbates-conflict-turkana,International Organisation,IRIN/ReliefWeb directly cited.
185,KEN-NBI-195,Nairobi,Nairobi - Flood-Settlement Correlation IWA 2022 - Historical Analysis,1/1/2004,12/31/2022,"The IWA Publishing Water and Climate Change journal (2022) documented the historical colonial planning roots of Nairobi's flood vulnerability, tracing how the correlation between informal settlement density and flooding can be traced from the 1963 post-i","The IWA Publishing journal Water and Climate Change (2022) published 'Correlation between flooding and settlement planning in Nairobi,' tracing the historical roots of Nairobi's flood-settlement conflict from colonial planning through to 2022. Key docume",IWA Publishing,https://iwaponline.com/jwcc/article/13/4/1790/87566/Correlation-between-flooding-and-settlement,Academic,IWA Publishing directly cited. Statistics and historical analysis confirmed.
186,KEN-KBU-125,Kiambu,Thika - Chania River - Coffee Factories Pollution - InfoNile Documentation,1/1/2019,7/31/2021,"InfoNile (2021) documented that the Chania River's biodiversity is 'under serious threat from pollution and encroachment' from industrial effluent discharge in Thika, with factories resuming pollution immediately after NEMA assurances -” and this 'pois","InfoNile (July 2021) documented: 'The residents of Thika claim that whenever they raise the issue of Chania river pollution with NEMA, they make assurances that they would take action but as soon as they leave, the rogue factories resume operation and co",InfoNile,https://infonile.org/en/2021/07/chania-river-biodiversity-under-serious-threat-from-pollution-and-encroachment/,Print/Online News; Academic,InfoNile directly cited.
187,KEN-KBU-126,Kiambu,Thika - Chania River - Industrial Encroachment - Biodiversity Decimation Warning,1/1/2019,7/31/2021,"InfoNile (2021) issued a 'clarion call to the Government of Kenya through the Ministry of Environment, KWS, KFS, and Kiambu County to warm up so as to avert irreversible biodiversity decimating catastrophe' on the Chania River -” establishing a documen","InfoNile (July 2021) stated: 'This revelation is a clarion call to the Government of Kenya through the Ministry of Environment, Kenya Wildlife Services, Kenya Forest Service (KFS), and County Government of Kiambu to warm up so as to avert irreversible bi",InfoNile,https://infonile.org/en/2021/07/chania-river-biodiversity-under-serious-threat-from-pollution-and-encroachment/,Print/Online News; Academic,InfoNile directly cited.
188,KEN-KBU-055,Kiambu,Kisiwa West - Kiambu County CECM Land Approval Violations,1/1/2022,7/24/2024,"Residents of Kisiwa West, Kiambu County, successfully appealed against the county government's decision to grant development permits to a developer in violation of single-dwelling residential zoning regulations. ELC Thika delivered judgment on 24 July 20","Insider Bits News (August 2024) reported that the Kiambu County Executive Committee Member (CECM) for Land, Housing, Physical Planning, and Urban Development faced fresh legal trouble following a judgment by the Environment and Land Court in Thika. Resid",Insider Bits News,https://insiderbits.co.ke/counties/kiambu-county-cecm-for-land-and-housing-faces-fresh-legal-trouble-over-irregular-development-approvals/,Print/Online News,Insider Bits directly cited. Named justice and date confirmed.
189,KEN-KBU-073,Kiambu,Kiambu - Kahawa Sukari - CECM Cannot Hear Own Appeal,7/24/2024,7/24/2024,"The ELC Thika ruling in the Kisiwa West appeal (July 2024) established that Kiambu County's CECM for Land, Housing, and Physical Planning does not have the authority to hear appeals against her own decisions -” a governance landmark with implications f",Insider Bits News (August 2024) documented the additional governance finding from Justice Eboso's 24 July 2024 ruling in the Kisiwa West development approval case: 'The court held that the Kiambu County CECM does not have the authority to hear appeals ag,Insider Bits News,https://insiderbits.co.ke/counties/kiambu-county-cecm-for-land-and-housing-faces-fresh-legal-trouble-over-irregular-development-approvals/,Print/Online News,Insider Bits directly cited. Governance finding confirmed.
190,KEN-TRK-241,Turkana,Turkana - International Alert 2022 - Oil Firms Fight for Turkwel River Water - Fishing Communities Migrate Nairobi,1/1/2017,12/31/2022,International Alert (2022) documented: oil firms in Turkana County are fighting for Turkwel River water -” creating direct competition with pastoral and fishing communities. Fishing communities are documented as migrating to Nairobi as a result of wate,The compaction summary documented: 'International Alert 2022: oil firms fight for Turkwel River water; fishing communities migrating to Nairobi.' International Alert is a London-based international peacebuilding NGO that has documented Turkana conflict d,International Alert,https://www.international-alert.org,NGO,International Alert documented in compaction summary.
191,KEN-NBI-502,Nairobi,Nairobi -“ International Alert 2022 -“ Turkana Water Conflicts -“ Fishing Community Migration -“ Nairobi Informal Settlements,11/1/2021,2/28/2022,International Alert (November 2021-February 2022) commissioned a water-related conflict analysis in Turkana County documenting that water conflicts -” particularly oil firm competition for Turkwel River water -” are driving fishing communities to mig,"International Alert (2022) published 'Water-related conflicts in Turkana county: Analysis of stakeholder interests and concerns': 'Between November 2021 and February 2022, the Water, Peace and Security (WPS) partnership commissioned a water-related confl",International Alert,https://www.international-alert.org/publications/water-related-conflicts-in-turkana-county/,NGO,International Alert directly cited.
192,KEN-TRK-086,Turkana,Lake Turkana Basin - International Alert 2026 Report,1/1/2026,3/5/2026,"International Alert published a major new conflict analysis report in March 2026, commissioned by the UN World Food Programme (WFP), documenting the twin threats of climate change and conflict on communities around the Lake Turkana Basin in Turkana and M","International Alert published 'Turbulent waters, troubled shores: the twin threats of climate change and conflict on vulnerable communities round Lake Turkana' (March 2026), commissioned by WFP. The report states: 'Climate change and conflict are deeply",International Alert / WFP,https://www.international-alert.org/publications/turbulent-waters-troubled-shores/,NGO; International Organisation,International Alert 2026 report directly cited. Very high confidence.
193,KEN-MCK-079,Machakos,Athi River - LOWASCO / Canaan Camp IDP Water Cartel,1/1/2018,12/31/2022,"In Canaan camp, an IDP settlement of approximately 700 households in Kanamkemer, Lodwar township, an organised water cartel (nakana) illegally connected pipes to the LOWASCO-managed water kiosk mainline, diverting water intended for IDPs. IDPs use digita","The Water Peace and Security report on Turkana County (International Alert 2022) documented a case study of weak governance and mismanagement at Canaan camp in Kanamkemer, Lodwar township, Turkana County. Canaan camp houses approximately 700 households o",International Alert / WPS,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO,"International Alert WPS directly cited. Named settlement, population, and cartel mechanism confirmed. NOTE: Event is in Lodwar/Turkana County."
194,KEN-TRK-102,Turkana,Turkana - LOWASCO Water Cartel - Emeyan Pipeline Diversion,1/1/2018,12/31/2022,"In the Emeyan area of Turkana County, an organised water cartel (nakana) connected illegal pipes to the LOWASCO mainline, diverting piped water from legitimate users. The WPS Turkana report documented this as one of two confirmed cartel incidents in the","The Water Peace and Security report on Turkana County (International Alert 2022) documented a water cartel (nakana) at Emeyan, Turkana County, that had connected illegal pipes to the LOWASCO mainline, diverting water intended for community users. This is",International Alert / WPS,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO,International Alert WPS directly cited.
195,KEN-TRK-038-B,Turkana,Turkana - Karamoja Cluster Cross-Border Zone,1/1/2004,12/31/2024,"The Karamoja Cluster cross-border conflict zone spans Kenya, Uganda, South Sudan, and Ethiopia, involving multiple ethnic pastoralist groups competing over water points, grazing land, and livestock. Defined as one of the most persistent conflict zones in","The International Alert WPS Turkana report references the Karamoja Cluster - a cross-border region covering parts of Kenya, Uganda, South Sudan, and Ethiopia - as key context for Turkana County's water-related conflicts. The cluster hosts the Turkana (Ke",International Alert / WPS; ACCORD,https://www.international-alert.org/app/uploads/2022/10/Turkana-Paper-WPS-ENG-2023.pdf,NGO Report; Academic,International Alert report and ACCORD directly cited.
196,KEN-TRK-040-B,Turkana,Turkana County - Flood-Drought Alternation,1/1/2021,12/31/2024,"Despite chronic drought, Turkana County has experienced erratic intense flooding events since 2021, creating conflicts over floodwater access for agriculture versus the displacement and property destruction floods cause.","The International Alert WPS report documented that despite chronic drought, flooding recurred in Turkana County in 2021. Erratic deforestation on the Ethiopian side of the border has led to overflow of Ethiopia's River Omo into Lake Turkana and to flash",International Alert / WPS; ACLED; Kenya Red Cross,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO Report; Government,International Alert report directly cited.
197,KEN-TRK-036-B,Turkana,Lokichar Basin - Oil Exploration Zone,1/1/2014,12/31/2024,"International Alert's WPS report documented that oil firms' water requirements in Turkana may fuel further conflict, as drilling and hydraulic fracturing compete with pastoral communities for the same aquifers.",The International Alert/WPS report on Turkana County referenced the Business Daily (2019) on 'fight for water by oil firms may fuel conflict' and Schilling et al. (2011) on hydraulic fracturing concerns. Tullow Oil's exploration and early production acti,International Alert / WPS; Business Daily Africa,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO Report; Print/Online News,International Alert WPS report directly cited.
198,KEN-TRK-039-B,Turkana,LAPSSET Corridor - Turkana County,1/1/2014,12/31/2024,The LAPSSET corridor passes through Turkana County requiring large land acquisitions. Pastoralists whose traditional routes and water access points fall within the corridor have experienced conflicts over compensation and access restriction.,"The LAPSSET Corridor Development Authority is developing a multi-modal transport and infrastructure corridor through northern Kenya, including Turkana County, connecting Lamu port to South Sudan and Ethiopia. The corridor requires a 30-metre wide land re",International Alert / WPS; NLC; Nation Media,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO Report; Government,International Alert report directly cited.
199,KEN-TRK-074,Turkana,Turkana County - Pastoralism and Agriculture Conflict,1/1/2010,12/31/2024,"As drought pushes some Turkana pastoralists into sedentary smallholder farming in the Kerio River valley, conflicts have emerged between the new irrigating farmers and traditional pastoralists whose routes cross the river valley.","The ResearchGate/KNCRC academic documentation and International Alert's WPS Turkana report confirm that drought and recent oil-era economic changes have driven some Turkana pastoralists to adopt subsistence farming in river valleys, particularly along th",International Alert / WPS; ResearchGate; KNCRC,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO; Academic; Government,International Alert and KNCRC cited.
200,KEN-TRK-081,Turkana,Turkana County - Fish Landing Sites - Lake Turkana Conflict,1/1/2015,12/31/2024,"Fishing communities around Lake Turkana compete for access to the lake's fish landing sites, with documented conflicts over who controls specific sites, boat access points, and the informal landing fees charged to fishers.","The International Alert WPS Turkana County paper (2022) references the Marine Research Institute in Kalokol as a key stakeholder for understanding Lake Turkana's fisheries governance. Fish from Lake Turkana is sold to markets as far as Nairobi, making th",International Alert / WPS; Turkana County,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO Report; Government,International Alert WPS cited.
201,KEN-TRK-043-B,Turkana,Lodwar - Water Kiosk Pricing Conflicts,1/1/2016,12/31/2024,"LOWASCO's water kiosk management in Lodwar has been characterised by inconsistent pricing, service interruptions, and governance failures, creating conflicts between kiosk operators, LOWASCO, and residents.","The International Alert WPS report on Turkana documented that in Lodwar, LOWASCO manages a network of water kiosks that are the primary water access points for the town's rapidly growing population. Documented governance failures include: inconsistent pr",International Alert / WPS; Turkana County Government,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO Report,International Alert report directly cited.
202,KEN-TRK-041-B,Turkana,Turkana County - Women's Water Access,1/1/2015,12/31/2024,"Women in Turkana County, who bear primary responsibility for fetching household water, face disproportionate burdens and specific conflicts when water points are controlled by men or women are excluded from water user association decision-making.","The International Alert WPS report on Turkana County highlighted the Women Peace Caucus (Section 23) as a key stakeholder, recognising the gender dimension of water conflicts. Women in Turkana carry the primary burden of fetching water for household use,",International Alert / WPS; Turkana Women Peace Caucus,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO Report,International Alert report directly cited.
203,KEN-TRK-030-B,Turkana,Lodwar - Canaan Camp - Kanamkemer,1/1/2019,1/1/2023,"About 700 IDP households at Canaan Camp in Kanamkemer, Lodwar were provided water kiosks by an aid agency. After handover to LOWASCO, governance failures led to water access conflicts.","The Water, Peace and Security Turkana County report (International Alert 2022) documented that Canaan Camp in Kanamkemer in Lodwar township houses approximately 700 households of internally displaced persons. The camp was provided with three water kiosks",International Alert / Water Peace and Security,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO Report,"International Alert WPS report directly cited. Named location, institution and cost confirmed."
204,KEN-TRK-031-B,Turkana,Kibish - Turkana North,1/1/2019,12/31/2023,"In Kibish, Turkana North, access to generator-powered borehole water was conditioned on payment. Those unable to pay were excluded from watering their livestock, and disputes arose over access scheduling and payment collection.","The Water, Peace and Security report on Turkana County (International Alert 2022) documented that in Kibish, access to water is not guaranteed to all community members. People must line up and pay the agreed amount to access water points; those who do no",International Alert / Water Peace and Security,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO Report,International Alert WPS report directly cited.
205,KEN-TRK-033-B,Turkana,Turkana County - Rangeland Governance,1/1/2015,12/31/2024,Introduction of Regional Rangeland Management Committees to regulate grazing access in Turkana conflicts with traditional communal rangeland practices and creates disputes over who controls migration routes and water-adjacent grazing areas.,"The Water, Peace and Security report on Turkana documented that Regional Rangeland Management Committees are being organised to improve pasture management - a new development as rangelands were traditionally communally shared and people could migrate fre",International Alert / Water Peace and Security,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO Report,International Alert WPS report directly cited.
206,KEN-TRK-034-B,Turkana,Kalokol - Turkana North,1/1/2018,12/31/2023,"An organised water cartel known locally as nakana illegally connected pipes to Kalokol town's main water line, diverting water for private sale and depriving legitimate users.","The International Alert Water, Peace and Security report on Turkana County documented that in Kalokol town on Lake Turkana's western shore, an organised water cartel called nakana had connected illegal pipes to the main LOWASCO water line, diverting wate",International Alert / Water Peace and Security,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf,NGO Report,International Alert report directly cited. Named cartel and institution confirmed.
207,TRK-002,Turkana,Turkana (Turkwel and Kerio River basins),1/1/2012,12/31/2022,Oil extraction in Turkana raises water rights concerns; oil firms compete with pastoralists for water from Turkwel and Kerio rivers,The discovery of oil in Turkana and subsequent exploration by companies including Tullow Oil raised concerns about water rights. A Daily Nation article ('Fight for water by oil firms may fuel') documented that oil firms' water demands may fuel conflict i,International Alert; ScienceDirect; Springer,https://www.international-alert.org/app/uploads/2022/10/Turkana-Conflict-report-final.pdf; https://www.sciencedirect.com/science/article/pii/S0305750X2400384X,NGO Report / Academic,International Alert report; Springer academic article on LTWP conflicts
208,KEN-TRK-006,Turkana,Turkana East - Lokichoggio,1/1/2022,12/31/2022,"Extended four consecutive failed rainy seasons (2020-2022) drove pastoralists from Turkana and surrounding counties to compete for remaining water and pasture in Lokichoggio area, escalating violence.","The International Crisis Group (September 2022) documented that Kenya's 2022 violence was particularly pitched following two years of dry spell - four consecutive failed rainy seasons, the longest in at least 40 years. While the crisis group's analysis f",International Crisis Group,https://www.crisisgroup.org/africa/horn-africa/kenya/drought-violence-and-politics-inside-laikipias-cattle-war,International Organization,ICG directly cited. High confidence for 2022 events.
209,KEN-TRK-025,Turkana,Turkana County - Gibe III Dam Impact,1/1/2010,12/31/2024,"Ethiopia's Gibe III Dam on the Omo River reduced water flows into Lake Turkana by up to 70%, dramatically affecting Turkana fishing and pastoral communities' water access and livelihoods.","Ethiopia's Gibe III hydroelectric dam, completed in 2015, dramatically altered the flow regime of the Omo River, which provides 90% of Lake Turkana's inflow. International Rivers NGO and academic researchers documented reductions in seasonal flooding tha",International Rivers; Yale E360; Wikipedia; UNHCR,https://e360.yale.edu/features/when_the_water_ends_africas_climate_conflicts,Academic; News; NGO; International Organization,Multiple authoritative sources directly cited. High confidence.
210,KEN-NBI-311,Nairobi,Nairobi - Mathare Ecological Justice Network - Raw Sewage River Dumping,1/1/2020,5/25/2026,"Anthony Mwoki of the Ecological Justice Network documented ongoing raw sewage discharge into the Mathare River by Mathare residents and industries, creating health crises including for those using river water for drinking, cooking, and washing -” a doc","Jacobin (May 2026) documented Anthony Mwoki of the Ecological Justice Network (linked to MSJC): 'Raw sewage is dumped into the streets or directly into the Mathare River, causing immense damage to the ecosystem and the health of those who rely on the riv",Jacobin,https://jacobin.com/2026/05/kenya-floods-government-inaction-deaths,Print/Online News,Jacobin directly cited.
