field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24
KEN-TRK-050,KEN-TRK-050,Turkana,Lowerengak - Turkana North East,1/1/2014,12/31/2022,Oil exploration in Block 10BA in northeast Turkana stalled while displacing pastoralists from Lowerengak - a drought-refuge area adjacent to Lake Turkana. Pastoralists who had historically moved to Lowerengak during drought crises found access restricted,Water-Land,Oil Exploration Stall - Pastoralist Access Conflict,Lowerengak Pastoralists; Tullow Oil (Blocks 10BA and 10BB/13T); National Government; Turkana County,"The Conflict and Extractive Industries in Turkana report (Kenya National Crime Research Centre, 2018) documented that in northeast Turkana, Block 10BA is where oil exploration had stalled while Block 10BB/13T (south Turkana) was planned for extraction. L",Kenya National Crime Research Centre,https://crimeresearch.go.ke/wp-content/uploads/2018/02/Conflict-and-Extractive-Industries-in-Turkana.pdf,Government Research,3.65,36.1167,5,1000+,Ongoing - Stalled Exploration,Partially Resolved,"Lowerengak, Turkana North East, Block 10BA, oil exploration, Lake Turkana, drought refuge, fencing, inter-clan conflict",Yes,0.87,KNCRC report directly cited. Block numbers confirmed.
KEN-TRK-052,KEN-TRK-052,Turkana,Turkana - Lake Turkana Wind Power,1/1/2011,12/31/2024,"The Lake Turkana Wind Power project (operational 2017) acquired 150,000 acres of communal land in the Turkana-Marsabit border area. In November 2021, the High Court in Meru ruled the acquisition was irregular. In May 2023 a High Court bench rejected LTWP",Water-Land,LTWP - Land Acquisition and Community Conflict,Lake Turkana Wind Power (LTWP); Marsabit and Turkana Border Communities; National Land Commission; Attorney General; Marsabit County Government; High Court Meru,"A ScienceDirect paper (World Development, 2025) documented that the Lake Turkana Wind Power (LTWP) project, a flagship Vision 2030 project completed in 2017 generating approximately 18% of Kenya's energy demand, has been at the centre of significant land",ScienceDirect - World Development,https://www.sciencedirect.com/science/article/pii/S0305750X2400384X,Academic; Court Record,2.75,36.9167,0,Unknown,High Court Ruling - May 2023,Ongoing - Land Regularisation,"LTWP, Lake Turkana Wind Power, Marsabit, land acquisition, High Court, NLC, irregular acquisition, Vision 2030, community",Yes,0.93,ScienceDirect directly cited. Court dates and ruling details confirmed.
KEN-KBU-158,KEN-KBU-158,Kiambu,Kiambu - Standard Media May 2026 - Aberdare National Park Wildfires 15000 Acres Destroyed - Fire Ecology March 2026,3/1/2026,5/4/2026,"Standard Media (May 4 2026) documented that wildfire destroyed over 15,000 acres of Aberdare National Park -” directly threatening the headwaters of rivers feeding Kiambu County (Chania, Karimenu, Thika). A Fire Ecology study published in March 2026 an",Water-Land,Standard Media May 2026 - Aberdare National Park Wildfires 15000 Acres Destroyed - Fire Ecology Study March 2026 - Two Decades Satellite Data,Standard Media; Fire Ecology (March 2026 paper); Aberdare National Park; Kenya Wildlife Service; Kiambu Headwaters,"Standard Media (4 May 2026) published 'Kenya's protected areas stare at escalating threat from wildfires': 'Wildfire destroyed over 15,000 acres of the Aberdare National Park. Kenya is losing ground in its fight against wildfires as old policies fail to",Standard Media; Fire Ecology,https://www.standardmedia.co.ke/amp/environment-climate/article/2001546913/kenyas-protected-areas-stare-at-escalating-threat-from-wildfires,Print/Online News; Academic,-1.05,36.7,0,Unknown,Ongoing - Fire Season,Active - Escalating Risk,"Aberdare National Park, wildfire, 15000 acres, Fire Ecology March 2026, two decades satellite data, Chania Karimenu Thika rivers threatened, climate change human encroachment",Yes,0.95,Standard Media directly cited.
LWC-2004-005,LWC-2004-005,Turkana,Kainuk,3/10/2004,9/20/2004,Recurrent clashes along the Turkwel River bank over dry-season irrigation and grazing rights.,Water / Pasture,Inter-County Cattle Rustling,Turkana Herders vs. Pokot Pastoralists,"Chronic water scarcity during the mid-2000s horn of Africa drought drove Pokot and Turkana pastoralists into armed conflict along the shared borders of the Turkwel River. Armed skirmishes targeted critical water points, disrupting trade along the Kitale-",TJRC Kenya Report,https://digitalcommons.law.seattleu.edu,Government Report,1.7167,35.5167,18,600,Local Peace Committee Resolution,Fragile Peace Accord,"Kainuk, Turkwel River, Pokot, cattle rustling, irrigation",Yes,0.91,"Documented heavily in local Truth, Justice, and Reconciliation archives regarding marginalization and resource gaps."
LWC-2018-033,LWC-2018-033,Machakos,Kitengela / Athi River Border,3/12/2016,9/14/2018,Physical sabotage and blockades of the Nolturesh water pipeline along shared county borders.,Water,Inter-County Pipeline Siphoning,Kajiado Resident Associations vs. Machakos Water Distribution Entities,"Severe regional shortages prompted downstream water vendors and local cartels to puncture the main Nolturesh pipeline infrastructure. Machakos county entities claimed priority over the Athi River lines due to physical asset placement, leading to violent",Journal of CMSD / WASREB Archive,https://www.wra.go.ke,Academic Journal / Regulatory Log,-1.5,37.3,0,0,Inter-County Regulatory Review,Allocation Rationing Enforced,"Nolturesh pipeline, water cartel, siphoning, infrastructure sabotage",Yes,0.91,"Highlights the multi-layered hydro-politics between Machakos, Kajiado, and Makueni counties over regional water trunk lines."
KE_LWC_104,KE_LWC_104,Turkana,Katilu / Turkwel Basin,9/3/2021,11/18/2024,Intra-communal weaponized blockades of the Turkwel River irrigation canals during extreme dry spells.,Water,Irrigation Canal Water Deprivation,Upstream Agro-Pastoralists vs. Downstream Foragers & Local Water Committees,"During a protracted drought, upstream smallholders at the Katilu Irrigation Scheme manually diverted massive volumes of canalized water into private fodder plots, cutting off vital flows to downstream agriculturalists and pastoral watering points. The re",DanChurchAid Humanitarian Appraisals,https://www.danchurchaid.org,NGO Security Assessment,1.6833,35.4833,3,450,Local Administrative Regularization,Rotational Water Sharing Agreement Implemented,"Katilu Irrigation Scheme, Turkwel downstream water war, canal diversion",Yes,0.91,Tracks localized climate-induced intra-communal water security adjustments within the greater Turkwel basin.
KE_LWC_190,KE_LWC_190,Kiambu,Limuru (Ndeiya Sector),5/10/2007,8/24/2011,"Fencing sabotage, armed community cattle invasions of private enclosures, and localized multi-clan altercations.",Land / Water,Community Grazing Land Borehole Grab,Traditional Maasai/Kikuyu Pastoral Kraals vs. Private Commercial Ranching Syndicates,An intense local land-use standoff emerged when a private commercial syndicate obtained a questionable 150-acre title overlaying a historical communal grazing reserve and public water borehole in Ndeiya. The syndicate installed razor wire around the high,Kiambu District Commissioner Administrative Files,https://kenyalaw.org,Local State Inquest Logs,-1.1833,36.6333,1,0,Administrative Settlement Executed,Fences Removed / Borehole Reclassified Public,"Ndeiya grazing grab, communal borehole fence, pastoral water dispute, Limuru land overlay",Yes,0.94,"Highlights how attempts to privatize communal water holes inside semi-arid ranch paths can trigger immediate, coordinated community defense actions."
KEN-MCK-215,KEN-MCK-215,Machakos,Machakos - Kiambu Aberdare Wildfire February 2023 - 40000 Acres - CEC Kuria Chania River Karimenu II Threatened,2/1/2023,2/28/2023,"People Daily (February 2023) documented: Aberdare wildfire destroyed 40,000 acres; CEC David Kuria confirmed rivers dried; Chania River and Karimenu II Dam directly threatened. The compaction summary confirmed this as a distinct event: 'Aberdare Forest w",Water-Land,Aberdare Forest Wildfire February 2023 - 40000 Acres Destroyed - CEC David Kuria Confirms - Rivers Dried - Karimenu II Chania River Threatened,KFS; Kiambu CEC Water Environment David Kuria; Aberdare National Park; Chania River; Karimenu II Dam; People Daily,"The compaction summary documented: 'Aberdare Forest wildfire February 2023: 40,000 acres destroyed; CEC David Kuria confirms rivers dried; Karimenu II Dam Chania River threatened.' Kiambu County CIDP 2023-2027 documented: 'The Chania River and its tribut",People Daily; Kiambu CIDP,https://www.pd.co.ke/news/crisis-as-mighty-mt-kenya-rivers-run-on-empty-168571/,Print/Online News; Government,-1.05,36.7,0,Unknown,Historical - Wildfire Event,Resolved (Historical),"Aberdare wildfire February 2023, 40000 acres, CEC David Kuria, rivers dried, Chania River, Karimenu II Dam, compound threat, drought and wildfire concurrent",Yes,0.91,People Daily and Kiambu CIDP directly cited.
KE_LWC_234,KE_LWC_234,Turkana,Turkana South (Amoni / Kainuk Sector),9/12/2017,6/30/2021,"Armed raids on watering points, burning of temporary manyattas, and multi-county security buffer zones.",Water / Land,Cross-County Riverine Grazing & Well-Site Dispute,Turkana Pastoralists vs. West Pokot Pastoralists & Armed Marauders,"Deepening drought cycles forced large-scale movement of livestock toward the Turkwel River banks in the Amoni region. Disputes erupted over the control of strategic hand-dug wells in the dry riverbed, which serve as the only water source for thousands of",National Steering Committee on Peace Building (NSC),https://www.nscpeace.go.ke,Peace Committee Reports,1.7167,35.5167,12,500,Administratively Settled,Resource Sharing Agreement Signed / Joint Water Police Patrols,"Turkwel water war, Kainuk border conflict, riparian grazing, pastoralist well dispute",Yes,0.96,Captures the persistent and complex intersection of climate-driven water scarcity and administrative boundary disputes in the North Rift region.
KE_LWC_277,KE_LWC_277,Turkana,Turkana South (Kapedo / Suguta Valley Outliers),9/2/2015,12/14/2022,"Armed perimeter shootouts, cyclical livestock raids at watering troughs, and joint peace-committee declarations.",Water / Land,Perennial Spring Control & Strategic Livestock Watering Access,Turkana South Pastoralist Kraals vs. Transboundary Grazing Competitors,"A cluster of exceptionally high-yield perennial hot springs near Kapedo, acting as the absolute baseline survival node for thousands of livestock during severe dry spells, became the epicenter of a fierce territorial conflict. Competitors from adjacent a",National Steering Committee on Peace Building (NSC) Logs,https://www.nscpeace.go.ke,Peace Committee Reports,1.3,36.0833,8,150,Customary Mediation Enforced,Shared Watering Timetable Enforced / Joint Peace Monitoring Outposts Built,"Kapedo spring dispute, Suguta valley water war, livestock watering conflict, transboundary pastoralist rift",Yes,0.94,"A critical entry reflecting high-stakes livestock security and territorial conflict surrounding singular, non-negotiable dry-season water sources."
KE_LWC_328,KE_LWC_328,Kiambu,Thika Sub-County (Kabati / Thika River Tributaries),8/22/2019,11/18/2024,"Severe seasonal road washouts, community-led machinery seizures, and ELC permanent structural injunctions.",Land / Water,Valley Wetland Excavation & Heavy Industrial Factory Infilling,Kabati Environmental Conservation Trust vs. Steel and Logistics Consortia,"A consortium of industrial developers deployed heavy machinery to ditch, drain, and infill a sensitive 6-acre valley-bottom wetland along a key tributary of the Thika River to build a heavy steel fabrication yard. The infilling completely destroyed the w",Kenya Environment and Land Court Case Logs,https://kenyalaw.org,Judicial Judgment Registry,-1.0333,37.0667,0,250,Judicially Determined,Factory Construction Terminated / Wetland Protection and Restoration Enforced,"Kabati wetland grab, Thika drainage row, industrial infilling dispute, ELC conservation order",Yes,0.96,Demonstrates the vital role of the judiciary in halting heavy industrial expansion when it directly threatens fragile wetland ecosystems and smallholder agricultural security.
KMB-WAT-018,KMB-WAT-018,Kiambu,Thika River Basin,9/18/2012,10/12/2016,Multi-county environmental pushback over the Northern Water Collector Tunnel.,Water,Sub-Catchment Siltation,Regional WRUAs vs. Trans-Basin Infrastructure,"Public and administrative disputes over the massive Aberdare diversion works, with local community leaders fearing the drying up of downstream agrarian valleys.",The Star Newspaper,https://www.the-star.co.ke/news/2016-10-12-secret-project-runs-into-turbulent-waters,National Press Archive,-1.1,36.83,0,0,Appellate Review,Project Approved under EIA,,,,
KMB-LND-019,KMB-LND-019,Kiambu,Ndeiya / Karai,6/12/2014,11/5/2017,Clashes over communal grazing boundaries and private survey beacons.,Land,Community Boundary Rift,Agro-pastoralist Groups vs. Speculative Firms,Arid sections of western Kiambu faced community standoffs as large scale corporate subdivisions fenced off traditional corridors used by local herders.,Internal Displacement Monitoring Centre,https://www.internal-displacement.org/sites/default/files/publications/documents/201502-af-kenya-pmr-en.pdf,Global Displacement Monitor,-1.15,36.65,0,35,Administrative Review,Boundaries Redrawn by NLC,,,,
TUR-LND-006,TUR-LND-006,Turkana,Kainuk / Border,8/25/2017,10/12/2022,Armed ambushes along administrative boundaries over strategic river valley access.,Land,Inter-County Boundary Row,Turkana South Herders vs. Pokot Border Pastors,"High-tension territorial war over the control of arable riverine pastures and watering banks along the Turkwel River boundary axis, disrupting trade networks.",High Court of Kenya,[suspicious link removed],Official Case Law Database,1.7167,35.5167,15,600,Boundary Commission Review,Security Buffer Zones Established,"border-clash, riverine-pasture, Pokot, Kainuk",Yes,0.95,Monitored by joint multi-agency security teams from both counties.
TUR-LND-016,TUR-LND-016,Turkana,Lokiriama / Border,9/11/2018,12/15/2022,High-casualty armed raids over shared dry-season migration grazing pockets.,Land,Transboundary Range War,Turkana South Pastors vs. Karamojong Herder Units,Protracted socio-spatial border conflict driven by extreme weather changes that caused uncoordinated migrations into critical transboundary reserve blocks.,Pax Christi International,https://www.paxforpeace.nl/media/download/pax-report-the-turkana-tribunal.pdf,NGO Peace Archive,1.7167,35.5167,18,450,International Border Peace Treaty,Lokiriama Peace Accord Re-affirmed,"range-war, Karamojong, cross-border, Lokiriama",Yes,0.96,Historical conflict node with established cross-border peace monuments.
TUR-WAT-021,TUR-WAT-021,Turkana,Kibish / Elemi Axis,11/12/2020,2/18/2024,Violent exchanges over control of deep historical volcanic rock cistern access holes.,Water,Strategic Rock Catchment Row,Local Clan Defense Units vs. Cross-Border Armed Raiders,"Armed territorial asset battle over the sole functional dry-season water point within a 45-kilometer radius, requiring national military deployment to secure.",High Court of Kenya,[suspicious link removed],Official Case Law Database,2.15,35.85,9,180,National Security Order,Permanent Security Post Built at Site,"rock-catchment, armed-raid, water-security, Kibish",Yes,0.93,"Extremely remote, high-risk node monitored by border patrol systems."
TUR-WAT-027,TUR-WAT-027,Turkana,Omo River Delta / Lake End,2/10/2021,11/14/2024,Armed lake skirmishes over shifting underwater net layouts and boundaries.,Water,Transboundary Fishing Ground Row,Turkana Gillnet Cooperatives vs. Dasanech Armed Teams,"Changing lake volumes caused by upstream dam infrastructure altered fish breeding zones, pushing competing artisanal fishing teams into violent territorial net-slashing clashes.",Pax Christi International,https://www.paxforpeace.nl/media/download/pax-report-the-turkana-tribunal.pdf,NGO Peace Archive,3.5167,36.0167,6,90,International Bilateral Review,Co-managed Fishing Zones Enforced,"transboundary, fishing-net, Omo-delta, breeding-ground",Yes,0.94,Requires routine surveillance by the Kenya Coast Guard Service.
TUR-LND-030,TUR-LND-030,Turkana,Kainuk Gorge / South Axis,8/11/2020,2/28/2024,Armed skirmishes over dry-season grass rights along contested border slopes.,Land,Inter-County Grazing Encroach,Turkana South Community vs. West Pokot Pastoralists,"Severe environmental pressure forced cross-border livestock teams into core riverine reserve zones without cultural clearance from local elders, igniting armed clashes.",CEWARN IGAD,https://cewarn.org/index.php/reports/country-reports/kenya/file/212-turkana-border-pastoral-dynamics,Inter-Governmental Archive,1.4833,35.5833,14,520,Inter-County Security Decree,Joint Border Pasture Sharing Calendar,"border-clash, riverine-pasture, Kainuk, migration",Yes,0.96,Managed by a joint peace committee consisting of Turkana and Pokot elders.
TUR-LND-036,TUR-LND-036,Turkana,Turkwel Dam Riparian Zone,11/20/2017,8/14/2021,Forced removal of brush fences built within the dam's maximum flood contour.,Land,Reservoir Margin Cultivation,Hydro-Power Utility vs. Drawdown Agriculture Groups,"Operational safety standoffs where smallholders cleared protective riverine vegetation to plant recession crops, creating siltation hazards inside the power station’s reserve footprint.",Energy & Petroleum Tribunal,[suspicious link removed],Official Case Law Database,-0.7,37.9,0,45,Utility Wayleave Act Enforcement,"Buffer Clearance, Agroforestry Buffer","reservoir-siltation, wayleave, Turkwel-dam, recession-farming",Yes,0.93,Coordinated with KenGen catchment restoration initiatives.
MAC-LND-046,MAC-LND-046,Machakos,Masinga Dam Eastern Banks,5/19/2017,4/14/2022,Forced eviction of large-scale pump installations and clear-cutting setups inside a dam's flood zone.,Land,Reservoir High-Water Encroachment,State Hydropower Utility vs. Commercial Riparian Irrigation Syndicates,"An environmental land governance row focused on the protected maximum flood contour line of Masinga Dam. Commercial farming enterprises leased adjacent land blocks and progressively extended their high-yield irrigation pump stations, plastic greenhouses,",KenGen Kenya,https://www.kengen.co.ke/index.php/sustainability/environmental-management.html,Corporate Environmental Report,-1.05,37.75,0,60,Utility Wayleave Act Adjudication,"Irrigation Sheds Demolished, Buffer Reclaimed","dam-encroachment, Masinga-dam, flood-buffer, riparian-clearance",Yes,0.94,Regulated through continuous boundary patrols by utility rangers.
